#{"t_start": 1707792798.1131709, "env_id": "CartPole-v1"}
r,l,t
10.0,10,16.725891
21.0,21,16.737507
40.0,40,16.759256
34.0,34,16.777815
26.0,26,16.792088
76.0,76,16.833721
56.0,56,16.896605
37.0,37,16.948871
49.0,49,16.992067
28.0,28,17.00738
23.0,23,17.020068
31.0,31,17.03706
25.0,25,17.050741
63.0,63,17.085671
18.0,18,17.097432
41.0,41,17.119857
22.0,22,17.132162
38.0,38,17.169336
59.0,59,17.23858
18.0,18,17.264757
88.0,88,17.349759
18.0,18,17.359624
11.0,11,17.381796
16.0,16,17.408863
31.0,31,17.438156
22.0,22,17.450242
19.0,19,17.513744
