#{"t_start": 1707773610.4748547, "env_id": "LunarLander-v2"}
r,l,t
-294.496369,126,54.317596
-36.962278,102,54.403274
-274.056558,98,54.485603
-81.019854,110,54.574366
-253.997962,134,54.681873
-204.70583,134,54.796834
-420.827296,125,54.897567
-39.191772,85,55.168361
-95.998586,99,55.248676
-219.433744,111,55.338672
-526.231102,174,55.483928
-138.033117,91,55.556228
-252.030371,121,55.655669
-465.479136,114,55.747741
-268.145654,143,55.876107
-116.076183,226,56.278042
-46.145755,103,56.359836
-126.044834,65,56.411395
-53.880474,73,56.469681
-141.318299,113,56.560058
-127.621516,117,56.652012
-269.4445,159,56.781095
-200.677955,132,56.895433
-434.227293,133,57.202796
-99.460069,199,57.371084
-182.340311,102,57.450866
-77.803439,100,57.529252
-17.010908,97,57.605846
-258.942075,158,57.733894
-76.248761,83,57.798739
-170.646069,109,57.893526
-273.376702,117,57.986977
-61.239579,98,58.2681
-271.29237,168,58.416311
-251.801089,144,58.539039
-88.114787,137,58.656106
-181.732362,143,58.778578
-159.395386,77,58.842414
-158.229089,142,58.983488
-229.278103,146,59.117468
-275.714139,159,59.468678
-58.019322,152,59.60309
-90.873073,96,59.680331
-127.006484,123,59.781242
-156.670553,199,59.962009
-302.622291,177,60.171858
-194.574767,140,60.646357
-106.069922,97,60.729255
-235.222536,150,60.864527
-135.33154,246,61.103447
-71.931125,122,61.222415
-39.494256,138,61.36656
-86.363096,97,61.536103
-149.608394,169,61.721738
-356.218061,187,62.160691
-179.71697,120,62.256498
-139.659033,117,62.350349
-179.564329,176,62.543164
-228.368012,157,62.67939
-247.300183,241,62.923702
-322.346938,130,63.271844
-317.3651,98,63.34709
-66.540491,93,63.42995
-173.315241,194,63.631432
-86.589989,113,63.721753
-290.909745,105,63.82015
-235.729473,222,64.052756
-456.875,291,64.597625
-221.523133,137,64.713885
-216.360565,288,65.069385
-196.749431,100,65.178123
-76.810871,87,65.255881
-148.253821,109,65.344635
-116.510771,95,65.429314
-285.975616,111,65.731111
-91.426646,106,65.823455
-133.351897,174,65.980376
-212.248342,99,66.060412
-77.56592,88,66.139008
-402.02252,204,66.319851
-86.773611,194,66.491173
-328.238799,158,66.825425
-189.549855,325,67.145478
-431.515024,161,67.282796
-451.489182,233,67.492665
-38.115378,101,67.57167
-232.861627,84,67.637542
-194.654394,145,67.971305
-64.252993,130,68.083112
-266.739838,162,68.217857
-86.903548,185,68.384245
14.202546,92,68.462443
-285.712565,143,68.576336
-81.132762,123,68.67391
-72.66816,143,69.000109
-238.524527,93,69.073881
-142.10413,134,69.183011
